detector,metric,unit,n,attempted_n,undefined_n,undefined_seeds,undefined_reason,mean,std,mean_plus_minus_std
faster_rcnn,precision,ratio,5,5,0,,,0.19589066943662742,0.05520862435372457,0.195891 ± 0.0552086
faster_rcnn,recall,ratio,5,5,0,,,0.5798507462686567,0.09111662200701993,0.579851 ± 0.0911166
faster_rcnn,f1,ratio,5,5,0,,,0.2845263147467961,0.052756619727272476,0.284526 ± 0.0527566
faster_rcnn,iou,ratio,5,5,0,,,0.674926726191087,0.006453173730731955,0.674927 ± 0.00645317
faster_rcnn,dice,ratio,5,5,0,,,0.8010050425470245,0.00492263828312658,0.801005 ± 0.00492264
faster_rcnn,map_50,ratio,5,5,0,,,0.3042238071036434,0.01889597011566169,0.304224 ± 0.018896
faster_rcnn,map_50_95,ratio,5,5,0,,,0.09950157082350385,0.006680724714320561,0.0995016 ± 0.00668072
faster_rcnn,profile_fps,images/second,5,5,0,,,20.275036662772074,5.623353639789695,20.275 ± 5.62335
faster_rcnn,inference_time_ms,milliseconds/image,5,5,0,,,53.93342160008251,21.149090276982722,53.9334 ± 21.1491
faster_rcnn,total_parameters,parameters,5,5,0,,,43256153.0,0.0,4.32562e+07 ± 0
faster_rcnn,trainable_parameters,parameters,5,5,0,,,43030809.0,0.0,4.30308e+07 ± 0
faster_rcnn,gflops,GFLOPs/image,5,5,0,,,450.7637248,0.0,450.764 ± 0
faster_rcnn,peak_gpu_memory_mib,MiB,5,5,0,,,1556.890234375,0.2604021348077603,1556.89 ± 0.260402
faster_rcnn,training_time_seconds,seconds,5,5,0,,,6661.00797774,2127.7216551787474,6661.01 ± 2127.72
yolo11s,precision,ratio,5,5,0,,,0.298316891974181,0.16908185399579506,0.298317 ± 0.169082
yolo11s,recall,ratio,5,5,0,,,0.0955223880597015,0.06066158973841962,0.0955224 ± 0.0606616
yolo11s,f1,ratio,5,5,0,,,0.14266144111134127,0.08683218156558284,0.142661 ± 0.0868322
yolo11s,iou,ratio,4,5,1,271,no_detections_at_frozen_score_threshold,0.698528133351987,0.015656038934076123,0.698528 ± 0.015656
yolo11s,dice,ratio,4,5,1,271,no_detections_at_frozen_score_threshold,0.8180641430069511,0.011091395295104377,0.818064 ± 0.0110914
yolo11s,map_50,ratio,5,5,0,,,0.16261194018585284,0.01617395516234945,0.162612 ± 0.016174
yolo11s,map_50_95,ratio,5,5,0,,,0.05416835343057739,0.006030311771848994,0.0541684 ± 0.00603031
yolo11s,profile_fps,images/second,5,5,0,,,60.28982114387253,12.622863103213357,60.2898 ± 12.6229
yolo11s,inference_time_ms,milliseconds/image,5,5,0,,,17.225947599908977,3.8263454810026087,17.2259 ± 3.82635
yolo11s,total_parameters,parameters,5,5,0,,,9428179.0,0.0,9.42818e+06 ± 0
yolo11s,trainable_parameters,parameters,5,5,0,,,9428163.0,0.0,9.42816e+06 ± 0
yolo11s,gflops,GFLOPs/image,5,5,0,,,21.4198784,0.0,21.4199 ± 0
yolo11s,peak_gpu_memory_mib,MiB,5,5,0,,,1148.16328125,0.0006550980402831415,1148.16 ± 0.000655098
yolo11s,training_time_seconds,seconds,5,5,0,,,1544.7483566799995,425.40244914991627,1544.75 ± 425.402
